ID товара,Название,Автор,Цикл,Том,Категория,Подкатегории,Издательство,Серия,Год издания,Возрастные ограничения,Переводчик,Художник,Цена,Цена со скидкой,Рейтинг,Кол-во оценок,ISBN,Аннотация,Отрывок,Обложка,Кол-во страниц,Тип обложки,Формат,Вес,Тираж,Наличие на сайте,Поступит в продажу,Наличие в магазинах,Наличие в местных магазинах,Карта
2923280,Приключения Тома Сойера и Гекльберри Финна (комплект из 2 книг),Твен М.,Приключения Тома Сойера и Гекльберри Финна,"1, 2",Детская художественная литература,Приключения,Эксмо,Внеклассное чтение. Хорошие книги в школе и дома,2021,16+,Дарузес Н.Л.,-,595,595,2.67,3,978-5-04-110854-0,"Творческой удачей американского писателя Марка Твена стали романы ""Приключения Тома Сойера"" и ""Приключения Гекльберри Финна"". С добротой и юмором автор повествует о судьбе своих юных героев. Похождения веселого, живого, озорного Тома Сойера и его бесшабашного друга Гекльберри Финна - одни из самых лучезарных книг в мировой литературе.",-,https://img-gorod.ru/29/232/2923280_detail.jpg,736,Твердая бумажная,20.7 x 13.2 x 4.5,710,4000,Осталось мало,-,17 магазинов,8 магазинов (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2923280
2912485,Дарители. Весь цикл в одном томе,Соболь Е.,Дарители,"1, 2, 3, 4, 5",Детская художественная литература,Детская фантастика,Росмэн,Весь цикл в одном томе,2022,12+,-,О.А. Закис,1098,1098,4.6,25,978-5-353-10084-3,"Давным-давно в волшебном королевстве, созданном могучим колдуном Барсом, у каждого жителя был свой чудесный дар, полученный от Сердца волшебства. А потом волшебство исчезло. С тех пор прошло триста лет, и внезапно история, которая уже стала сказкой, получила продолжение. Героям новой истории – Генри, Эдварду, Розе и многим другим, – предстоит вернуть пропавшие дары, разгадать самые сложные загадки, распутать не один клубок интриг, сразиться с кошмарными чудовищами и перехитрить хитрейшего из злодеев. Но хватит ли им мужества, решимости и доброты, чтобы спасти свой прекрасный сказочный мир?",-,https://img-gorod.ru/29/124/2912485_detail.jpg,1536,Твердая бумажная,6.3 x 14.6 x 22.2,1170,3000,В наличии,-,514 магазина,71 магазин (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2912485
2911956,Коты-детективы. Парижские тайны,"Гатти А., Морозинотто Д.",Коты-детективы,"1, 2, 3",Детская художественная литература,Детский детектив,АСТ,Коты-детективы. Подарочная,2022,6+,Николаева Н.,-,695,566,4.0,6,978-5-17-146035-8,"Мистер Луноброд и его разношёрстная компания берутся за самые сложные расследования.  В Париже похищен знаменитый повар Пьер Паштет, украдены драгоценные серьги знаменитой актрисы Мари Белиссимы, а в доме вдовы де Бульон пропала бесценная статуэтка… Пока инспектор Рампье и его толстопузый помощник пёс Кошмар бродят по ложному следу. Коты-детективы проявляют удивительную смекалку. Безошибочное чутьё и кошачья хитрость — вот гарантия успеха!",-,https://img-gorod.ru/29/119/2911956_detail.jpg,384,Твердая глянцевая,21 x 14.5 x 2.4,500,4000,В наличии,-,488 магазинов,79 магазинов (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2911956
2873853,Дневник Стива. Да начнутся приключения! Книги 1-5,Гитлиц А. (пер.),Дневник Стива,"1, 2, 3, 4, 5",Детская художественная литература,Детская фантастика,Бомбора,Майнкрафт. Дневник Стива,2022,12+,Гитлиц А.,-,1208,1208,4.11,19,978-5-04-156686-9,"Стив – обыкновенный мальчишка, жизнь которого ничем не примечательна, но… Внезапно он оказывается в захватывающем мире ""Майнкрафт""! Он и сам не понимает, как умудрился застрять в игре, но теперь его ждут невероятные приключения и опасности! Сможет ли Стив найти друзей в этом странном мире, победить криперов и жутких зомби, а также придумать, как же ему вернуться домой? Стив не унывает, ведь ему так хочется стать героем ""Майнкрафта"", и поэтому он готов отправиться в рискованное путешествие!",https://img-gorod.ru/28/738/2873853.pdf,https://img-gorod.ru/28/738/2873853_detail.jpg,656,Твердая бумажная,22 x 14.3 x 3.7,780,5000,В наличии,-,545 магазинов,80 магазинов (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2873853
2873854,Дневник Стива. Квадратное странствие продолжается! Книги 6-10,Гитлиц А. (пер.),Дневник Стива,"6, 7, 8, 9, 10",Детская художественная литература,Детская фантастика,Бомбора,Майнкрафт. Дневник Стива,2022,12+,Гитлиц А.,-,1245,1079,4.83,6,978-5-04-156688-3,"Раньше Стив не мог даже представить, что с ним такое случится! Он в самом деле застрял в ""Майнкрафте"" и совершенно не понимает, как ему отыскать дорогу домой! Но это не повод для грусти, ведь теперь он перемещается между мирами, и у него уйма дел. На каждом шагу Стива подстерегают опасности – криперы, зомби, жуткие морские чудовища и другие монстры. Стиву предстоит проявить доблесть, если он хочет стать настоящим героем и защитить селян!",https://img-gorod.ru/28/738/2873854.pdf,https://img-gorod.ru/28/738/2873854_detail.jpg,800,Твердая бумажная,22 x 14.3 x 4.3,920,5000,В наличии,-,542 магазина,79 магазинов (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2873854
2873855,Дневник Стива. Время отправляться в Край! Книги 11-14,Гитлиц А. (пер.),Дневник Стива,"11, 12, 13, 14",Детская художественная литература,Детская фантастика,Бомбора,Майнкрафт. Дневник Стива,2021,12+,Гитлиц А.,-,1208,1208,5.0,4,978-5-04-156689-0,"Это Стив, и он уже довольно неплохо освоился в мире ""Майнкрафта"". Он успел обзавестись собственным огородом, научился приручать животных и попал в парочку заварушек. Стив сталкивался со многими опасностями и переживал невероятные приключения во время своего странствия по мирам ""Майнкрафта"". И кажется, теперь у него начинает вырисовываться план, как ему вернуться домой… Но что это там? Дракон Края?!",https://img-gorod.ru/28/738/2873855.pdf,https://img-gorod.ru/28/738/2873855_detail.jpg,656,Твердая бумажная,22 x 14.3 x 3.6,760,5000,В наличии,-,487 магазинов,73 магазина (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2873855
2874039,Нэнси Дрю. Исчезнувшая реликвия. Гонка со временем. Фальшивая нота,Кэроллайн Кин,Нэнси Дрю: девушка-детектив,"1, 2, 3",Детская художественная литература,,АСТ,Истории про Нэнси Дрю. Коллекция,2021,12+,-,-,945,849,4.0,6,978-5-17-137484-6,"Меня зовут Нэнси Дрю, и я — детектив. В этой книге вы найдете три дела, над которыми мне и моим друзьям пришлось поломать голову.  ДЕЛО 1: ИСЧЕЗНУВШАЯ РЕЛИКВИЯ Недавно юная француженка Симона Валинковская купила старый дом на нашей улице. Как только она здесь поселилась, случилась беда: яйцо Фаберже, доставшееся ей по наследству от русского дедушки, украли средь бела дня. Я обязательно вычислю преступника, ведь для Симоны это не просто ювелирное изделие, а дорогая сердцу семейная реликвия…  ДЕЛО 2: ГОНКА СО ВРЕМЕНЕМ Я всегда придерживаюсь одного правила: в любой игре мне нужна победа. Если уж взялась за дело, доведу его до конца. И этот раз — не исключение. На благотворительной гонке ""Щедрые колеса"" были похищены все собранные деньги. И теперь моя цель — не только приехать на финиш первой, но и… поймать вора по пути!  ДЕЛО 3: ФАЛЬШИВАЯ НОТА Я люблю искать ответы на самые сложные загадки, но, когда дело касается папиного дня рождения, я просто теряюсь и не могу найти подходящий подарок! Вдобавок к этому я выяснила совершенно ужасную вещь: кандидат в мэры Ривер-Хайтс скрывает кое-какую страшную тайну о своей дочери. Мне просто необходимо выяснить, что происходит. И желательно до того, как наступит папин день рождения…",-,https://img-gorod.ru/28/740/2874039_detail.jpg,480,Твердая бумажная,21.8 x 14.5 x 2.6,510,2000,В наличии,-,309 магазинов,42 магазина (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2874039
2871999,Орест Кипренский. Повесть о художнике,Константин Паустовский,-,-,Детская художественная литература,"Проза для детей. Повести, рассказы",Детская литература,Экспозиция,2021,-,-,-,509,509,5.0,1,978-5-08-006218-6,"В парижском музее со всемирно известным названием «Лувр» содержится огромное количество художественных реликвий. Полистаем страницы его жизни, помня, что едва ли не за всеми экспонатами одного из самых больших музеев мира – удивительная история.",-,https://img-gorod.ru/28/719/2871999_detail.jpg,96+24,Твердая бумажная,22.2 x 16.9 x 1,360,3000,Последний экземпляр,-,1 магазин,-,https://www.chitai-gorod.ru/shops/reserve/?elem_id=2871999
2869136,"Сыскное бюро ""Брюм"". Пропажа в Скучном парке",М. Лазаренская,-,-,Детская художественная литература,Детский детектив,Феникс-Премьер,Детский детектив,2022,0+,-,Мурзина В.,809,599,3.89,9,978-5-222-37864-9,"Привет! Я Брюмер Первый Королевский Подарок, но для своих просто Брюм! И я прирождённый сыщик, ведь я — корги! Мы, корги, тоже овчарки, только маленькие. Знаете, сколько в полиции раскрыто мною дел? Лап не хватит пересчитать! Вот и сейчас наш Скучный парк, кажется, перестал быть тихим. Во время прогулки пропала соседская собачка Юми. И никаких улик. Хотя, если внимательно принюхаться... То пахнет большими приключениями! И будьте уверены, какие бы опасности меня не подстерегали, — я буду на высоте!",-,https://img-gorod.ru/28/691/2869136_detail.jpg,75,Твердая бумажная,23.5 x 17 x 1.1,320,3000,В наличии,-,142 магазина,26 магазинов (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2869136
2856682,"Инсомния. Весь цикл в одном томе: Девочка, которая спит. Девочка, которая ждет. Девочка, которая любит",Елена Булганова,Инсомния,"1, 2, 3",Детская художественная литература,Детская фантастика,Росмэн,Инсомния,2021,12+,-,-,898,898,4.22,37,978-5-353-09757-0,"Все три книги серии «Инсомния» в одном томе! Пятнадцатилетние Алеша и Иола познакомились во сне. Иола всегда жила странной, немного жутковатой жизнью: она могла бодрствовать только тогда, когда Алеша спал. А когда он просыпался, тут же проваливалась в беспробудный сон. Когда же оба оказались в учебном лагере для необычных подростков, то узнали о существовании атлантов и древних подземных миров. Таинственный Орден, пытающийся рассорить людей и древние расы, стремительно меняющийся мир, опасные приключения и невероятная сила дружбы — все это в серии «Инсомния» от Елены Булгановой, автора популярного цикла «Вечники»!",-,https://img-gorod.ru/28/566/2856682_detail.jpg,960,Твердая бумажная,22 x 14.6 x 4.5,830,3000,В наличии,-,465 магазинов,71 магазин (Москва),https://www.chitai-gorod.ru/shops/reserve/?elem_id=2856682
